date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
10-05-25,0,0,0,0,34,0,37,0,0,32,0
10-05-35,0,0,0,0,34,0,34,0,0,32,0
10-05-45,0,0,0,0,33,0,39,0,0,32,0
10-05-55,0,0,0,0,32,0,38,0,0,32,0
10-06-05,0,0,0,0,33,0,34,0,0,33,0
10-06-15,0,0,0,0,32,0,33,0,0,0,0
10-06-25,0,32,0,0,33,0,38,0,0,0,0
10-06-35,0,0,0,0,32,0,38,0,0,34,0
10-06-45,0,0,0,0,33,0,33,0,0,33,0
10-06-55,0,32,0,0,32,0,39,0,0,37,0
10-07-05,0,32,0,0,32,0,35,0,0,34,0
10-07-15,0,33,0,0,0,0,37,0,0,33,0
10-07-25,0,32,0,0,0,0,35,0,0,32,0
10-07-35,0,32,0,0,0,0,33,0,0,33,0
10-07-45,0,33,0,0,0,0,35,0,0,0,0
10-07-55,0,0,0,0,35,0,35,0,0,32,0
10-08-05,0,0,0,0,34,0,39,0,0,33,0
10-08-15,0,0,0,0,35,0,34,0,0,36,0
10-08-25,0,0,0,0,32,0,35,0,0,33,0
10-08-35,0,0,0,0,33,0,38,0,0,33,0
10-08-45,0,0,0,0,33,0,38,0,0,32,0
10-08-55,0,0,0,0,32,0,36,0,0,32,0
10-09-05,0,0,0,0,0,0,39,0,0,33,0
10-09-15,0,0,0,0,35,0,36,0,0,33,0
10-09-25,0,32,0,0,33,0,33,0,0,0,0
10-09-35,0,0,0,0,32,0,36,0,0,0,0
10-09-45,0,0,0,0,34,0,34,0,0,32,0
10-09-55,0,0,0,0,0,0,37,0,0,32,0
10-10-05,0,36,0,0,0,0,35,0,0,32,0
10-10-15,0,0,0,0,0,0,40,0,0,0,0
10-10-25,0,0,0,0,0,0,50,0,0,32,0
10-10-35,0,0,0,0,0,0,35,0,0,0,0
10-10-45,0,0,0,0,0,0,35,0,0,0,0
10-10-55,0,0,0,0,0,0,32,0,0,32,0
10-11-05,0,0,0,0,0,0,39,0,0,32,0
10-11-15,0,0,0,0,0,0,34,0,0,0,0
10-11-25,0,32,0,0,0,0,37,0,0,35,0
10-11-35,0,0,0,0,0,0,37,0,0,36,0
10-11-45,0,32,0,0,0,0,43,0,0,36,0
10-11-55,0,32,0,0,0,0,34,0,0,33,0
10-12-05,0,0,0,0,0,0,34,0,0,35,0
10-12-15,0,0,0,0,0,0,35,0,0,33,0
10-12-25,0,0,0,0,0,0,38,0,0,33,0
10-12-35,0,0,0,0,0,0,39,0,0,0,0
10-12-45,0,0,0,0,32,0,37,0,0,33,0
10-12-55,0,0,0,0,0,0,37,0,0,39,0
10-13-05,0,0,0,0,0,0,35,0,0,34,0
10-13-15,0,0,0,0,0,0,38,0,0,33,0
10-13-25,0,0,0,0,0,0,37,0,0,33,0
10-13-35,0,0,0,0,0,0,36,0,0,33,0
10-13-45,0,0,0,0,0,0,35,0,0,39,0
10-13-55,0,0,0,0,0,0,34,0,0,35,0
10-14-05,0,0,0,0,0,0,33,0,0,38,0
10-14-15,0,0,0,0,0,0,37,0,0,33,0
10-14-25,0,0,0,0,0,0,34,0,0,34,0
10-14-35,0,0,0,0,0,0,35,0,0,34,0
10-14-45,0,33,0,0,0,0,38,0,0,35,0
10-14-55,0,0,0,0,0,0,35,0,0,32,0
10-15-05,0,32,0,0,0,0,36,0,0,34,0
10-15-15,0,0,0,0,0,0,36,0,0,40,0
10-15-25,0,0,0,0,0,0,33,0,0,48,0
10-15-35,0,32,0,0,0,0,34,0,0,37,0
10-15-45,0,32,0,0,0,0,34,0,0,33,0
10-15-55,0,32,0,0,0,0,34,0,0,33,0
10-16-05,0,0,0,0,0,0,44,0,0,33,0
10-16-15,0,0,0,0,0,0,37,0,0,33,0
10-16-25,0,32,0,0,32,0,34,0,0,33,0
10-16-35,0,0,0,0,0,0,34,0,0,33,0
10-16-45,0,0,0,0,0,0,34,0,0,32,0
10-16-55,0,0,0,0,0,0,43,0,0,34,0
10-17-05,0,32,0,0,0,0,38,0,0,32,0
10-17-15,0,0,0,0,0,0,34,0,0,33,0
10-17-25,0,0,0,0,0,0,36,0,0,34,0
10-17-35,0,34,0,0,0,0,40,0,0,34,0
10-17-45,0,33,0,0,0,0,34,0,0,34,0
10-17-55,0,0,0,0,0,0,35,0,0,33,0
10-18-05,0,0,0,0,0,0,35,0,0,33,0
10-18-15,0,0,0,0,0,0,33,0,0,34,0
10-18-25,0,0,0,0,33,0,0,0,0,35,0
10-18-35,0,0,0,0,32,0,0,0,0,33,0
10-18-45,0,32,0,0,34,0,0,0,0,34,0
10-18-55,0,0,0,0,33,0,0,0,0,38,0
10-19-05,0,0,0,0,32,0,0,0,0,40,0
10-19-15,0,0,0,0,0,0,0,0,0,32,0
10-19-25,0,0,0,0,32,0,0,0,0,36,0
10-19-35,0,0,0,0,33,0,0,0,0,33,0
10-19-45,0,32,0,0,33,0,0,0,0,34,0
10-19-55,0,0,0,0,0,0,0,0,0,37,0
10-20-05,0,0,0,0,35,0,0,0,0,36,0
10-20-15,0,33,0,0,33,0,0,0,0,33,0
10-20-25,0,0,0,0,34,0,0,0,0,32,0
10-20-35,0,32,0,0,32,0,0,0,0,32,0
10-20-45,0,32,0,0,35,0,0,0,0,0,0
10-20-55,0,0,0,0,34,0,0,0,0,39,0
10-21-05,0,0,0,0,34,0,0,0,0,36,0
10-21-15,0,0,0,0,32,0,0,0,0,33,0
10-21-25,0,0,0,0,33,0,0,0,0,33,0
10-21-35,0,0,0,0,35,0,0,0,0,0,0
10-21-45,0,0,0,0,33,0,0,0,0,35,0
10-21-55,0,0,0,0,38,0,0,0,0,40,0
10-22-05,0,0,0,0,33,0,33,0,0,32,0
10-22-15,0,0,0,0,37,0,36,0,0,0,0
10-22-25,0,0,0,0,32,0,34,0,0,0,0
10-22-35,0,0,0,0,0,0,39,0,0,0,0
10-22-45,0,0,0,0,0,0,41,0,0,0,0
10-22-55,0,0,0,0,0,0,34,0,0,0,0
10-23-05,0,0,0,0,0,0,39,0,0,0,0
10-23-15,0,0,0,0,0,0,39,0,0,0,0
10-23-25,0,0,0,0,0,0,34,0,0,0,0
10-23-35,0,0,0,0,0,0,45,0,0,0,0
10-23-45,0,0,0,0,0,0,46,0,0,0,0
10-23-55,0,0,0,0,0,0,44,0,0,0,0
10-24-05,0,0,0,0,0,0,40,0,0,0,0
10-24-15,0,0,0,0,0,0,41,0,0,36,0
10-24-25,0,0,0,0,0,0,39,0,0,37,0
10-24-35,0,0,0,0,0,0,39,0,0,34,0
10-24-45,0,0,0,0,0,0,48,0,0,32,0
10-24-55,0,0,0,0,0,0,36,0,0,32,0
10-25-05,0,0,0,0,0,0,38,0,0,32,0
10-25-15,0,0,0,0,0,0,47,0,0,41,0
10-25-25,0,0,0,0,0,0,43,0,0,36,0
10-25-35,0,0,0,0,0,0,43,0,0,34,0
10-25-45,0,0,0,0,0,0,43,0,0,35,0
10-25-55,0,0,0,0,0,0,43,0,0,36,0
10-26-05,0,0,0,0,0,0,42,0,0,35,0
10-26-15,0,0,0,0,0,0,43,0,0,34,0
10-26-25,0,0,0,0,0,0,35,0,0,35,0
10-26-35,0,0,0,0,0,0,40,0,0,34,0
10-26-45,0,0,0,0,0,0,37,0,0,39,0
10-26-55,0,0,0,0,34,0,33,0,0,34,0
10-27-05,0,0,0,0,33,0,39,0,0,37,0
10-27-15,0,0,0,0,33,0,34,0,0,38,0
10-27-25,0,0,0,0,35,0,0,0,0,35,0
10-27-35,0,0,0,0,34,0,0,0,0,42,0
10-27-45,0,0,0,0,32,0,0,0,0,39,0
10-27-55,0,0,0,0,32,0,0,0,0,33,0
10-28-05,0,0,0,0,34,0,34,0,0,36,0
