date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-40-05,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-40-15,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-40-25,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-40-35,0,0,53,0,0,56,0,0,0,0,0,0,0,0,0,0
09-40-45,0,0,54,0,0,55,0,0,0,0,0,0,0,0,0,0
09-40-55,0,0,54,0,0,56,0,0,0,0,0,0,0,0,0,0
09-41-05,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0
09-41-15,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-41-25,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-41-35,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-41-45,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-41-55,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-42-05,0,0,54,0,0,57,0,0,0,0,0,0,0,0,0,0
09-42-15,0,0,53,0,0,56,33,0,0,0,0,0,0,0,0,0
09-42-25,0,0,53,0,0,55,32,0,0,0,0,0,0,0,0,0
09-42-35,0,0,54,0,0,55,32,0,0,0,0,0,0,0,0,0
09-42-45,0,0,55,0,0,55,0,0,0,0,0,0,0,0,0,0
09-42-55,0,0,55,0,0,53,0,0,0,0,0,0,0,0,0,0
09-43-05,0,0,54,0,0,53,0,0,0,0,0,0,0,0,0,0
09-43-15,0,0,53,0,0,54,0,0,0,0,0,0,0,0,0,0
09-43-25,0,0,52,0,0,55,0,0,0,0,0,0,0,0,0,0
09-43-35,0,0,54,0,0,55,0,0,0,0,0,0,0,0,0,0
09-43-45,0,0,54,0,0,55,0,0,0,0,0,0,0,0,0,0
09-43-55,0,0,50,0,0,51,0,0,0,0,0,0,0,0,32,0
09-44-05,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-44-15,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-44-25,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-44-35,0,0,50,0,0,51,0,0,0,0,0,0,0,0,33,0
09-44-45,0,0,50,0,0,51,0,0,0,0,0,0,0,0,31,0
09-44-55,0,0,51,0,0,51,0,0,0,0,0,0,0,0,33,0
09-45-05,0,0,51,0,0,51,0,0,0,0,0,0,0,0,0,0
09-45-15,0,0,50,0,0,51,0,0,0,0,0,0,0,0,32,0
09-45-25,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-45-35,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-45-45,0,0,50,0,0,51,0,0,0,0,0,0,0,0,0,0
09-45-55,0,0,51,0,0,51,0,0,0,0,0,0,0,0,0,0
09-46-05,0,0,51,0,0,51,0,0,0,0,0,0,0,0,32,0
