date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
13-30-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,42,0
13-31-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-32-05,0,37,0,0,37,0,0,0,34,0,0,0,0,50,41,0
13-33-05,0,37,0,0,36,0,0,0,33,0,0,0,0,50,42,0
13-34-05,0,37,0,0,36,0,32,0,32,0,0,0,0,50,42,0
13-35-05,0,37,0,0,36,0,0,0,33,0,0,0,0,50,42,0
13-36-05,0,36,0,0,36,0,0,0,36,0,0,0,0,50,42,0
13-37-05,0,37,0,0,37,0,0,0,33,0,0,0,0,50,42,0
13-38-05,0,36,0,0,36,0,0,0,32,0,0,0,0,50,42,0
13-39-05,0,36,0,0,36,0,37,0,32,0,0,0,0,51,42,0
13-40-05,0,37,0,0,36,0,0,0,0,0,0,0,0,51,42,0
13-41-05,0,37,0,0,36,0,32,0,0,0,0,0,0,51,42,0
13-42-05,0,36,0,0,37,0,33,0,0,0,0,0,0,50,42,0
13-43-05,0,37,0,0,37,0,34,0,0,0,0,0,0,51,42,0
13-44-05,0,37,0,0,37,0,0,0,0,0,0,0,0,50,42,0
13-45-05,0,37,0,0,37,0,0,0,0,0,0,0,0,51,42,0
13-46-05,0,37,0,0,36,0,32,0,0,0,0,0,0,49,42,0
13-47-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-48-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-49-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-50-05,0,36,0,33,36,0,0,0,0,0,0,0,0,50,42,0
13-51-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-52-05,0,36,0,0,36,0,0,0,0,0,0,0,32,50,42,0
13-53-05,0,36,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-54-05,0,37,0,0,37,0,32,0,0,0,0,0,0,50,42,0
13-55-05,0,37,0,0,37,0,0,0,0,0,0,0,0,50,42,0
13-56-05,0,36,0,0,36,0,32,0,0,0,0,0,0,50,42,0
13-57-05,0,37,0,32,36,0,32,0,0,0,0,0,0,50,42,0
13-58-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
13-59-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,42,0
14-00-05,0,37,0,32,36,0,32,0,0,0,0,0,0,50,42,0
14-01-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,42,0
14-02-05,0,37,0,0,37,0,0,0,0,0,0,0,0,50,42,0
14-03-05,0,37,0,34,36,0,0,0,0,0,0,0,0,50,42,0
14-04-05,0,37,0,34,36,0,0,0,0,0,0,0,0,51,42,0
14-05-05,0,37,0,32,36,0,0,0,33,0,0,0,0,50,42,0
14-06-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-07-05,0,38,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-08-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,42,0
14-09-05,0,37,0,0,36,0,32,0,32,0,0,0,0,50,42,0
14-10-05,0,37,0,0,36,0,0,0,32,0,0,0,0,50,42,0
14-11-05,0,36,0,0,36,0,0,0,0,0,0,0,0,49,42,0
14-12-05,0,37,0,0,36,0,0,0,0,0,0,0,0,49,42,0
14-13-05,0,36,0,0,36,0,0,0,0,0,0,0,0,49,41,0
14-14-05,0,36,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-15-05,0,37,0,32,37,0,0,0,0,0,0,0,0,50,42,0
14-16-05,0,37,0,32,36,0,33,0,32,0,0,0,0,51,42,0
14-17-05,0,36,0,32,37,0,0,0,0,0,0,0,0,50,42,0
14-18-05,0,36,0,32,36,0,32,0,32,0,0,0,0,50,42,0
14-19-05,0,37,0,0,36,0,32,0,0,0,0,0,0,50,42,0
14-20-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-21-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-22-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-23-05,0,37,0,0,36,0,33,0,0,0,0,0,0,50,42,0
14-24-05,0,37,0,0,36,0,0,0,0,0,0,0,0,49,42,0
14-25-05,0,37,0,0,36,0,32,0,32,0,0,0,0,50,42,0
14-26-05,0,37,0,0,36,0,32,0,0,0,0,0,0,49,42,0
