date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-54-11,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-54-21,0,0,48,0,0,60,36,0,0,0,0,0,0,57,0,0
09-54-31,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-54-41,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-54-51,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
09-55-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-55-11,0,0,49,0,0,62,0,0,0,0,0,0,0,57,0,0
09-55-21,0,0,49,0,0,61,0,0,0,0,0,0,0,56,0,0
09-55-31,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-55-41,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-55-51,0,0,49,0,0,58,0,0,0,0,0,0,0,56,0,0
09-56-01,0,0,47,0,0,59,0,0,0,0,0,0,0,56,0,0
09-56-11,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-56-21,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-56-31,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-56-41,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-56-51,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-57-01,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-57-11,0,0,49,0,0,60,33,0,0,0,0,0,0,57,0,0
09-57-21,0,0,49,0,0,59,31,0,0,0,0,0,0,56,0,0
09-57-31,0,0,47,0,0,59,33,0,0,0,0,0,0,56,0,0
09-57-41,0,0,47,0,0,60,33,0,0,0,0,0,0,57,0,0
09-57-51,0,0,47,0,0,59,0,0,0,0,0,0,0,58,0,0
09-58-01,0,0,49,0,0,59,0,0,0,0,0,0,0,57,0,0
09-58-11,0,0,46,0,0,60,0,0,0,0,0,0,0,58,0,0
09-58-21,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-58-31,0,0,48,0,0,59,0,0,0,0,0,0,0,55,0,0
09-58-41,0,0,48,0,0,60,0,0,0,0,0,0,0,56,0,0
09-58-51,0,0,47,0,0,59,0,0,0,0,0,0,0,56,0,0
09-59-01,0,0,49,31,0,60,0,0,0,0,0,0,0,56,0,0
09-59-11,0,0,48,0,0,59,0,0,0,0,0,0,0,56,0,0
09-59-21,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
