date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-39-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-40-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-40-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-40-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-41-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-42-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-42-11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-42-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-42-31,0,0,0,0,0,0,0,0,0,32,0,0,0,31,0,0
12-42-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-42-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-43-01,0,0,0,0,0,0,0,0,0,33,0,0,0,31,0,0
12-43-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-43-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-43-31,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-43-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-43-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-44-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-44-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-44-21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-44-31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-44-41,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-44-51,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-45-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-45-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-45-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-45-31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-45-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-45-51,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-46-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-46-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-46-21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-46-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-46-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-46-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-47-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-47-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-47-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-47-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-47-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-48-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-48-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
