date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-54-01,0,44,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-55-01,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-56-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
12-57-41,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-59-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
13-03-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
13-04-01,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-01,0,0,0,0,0,35,0,0,0,33,0,0,0,0,0,0
13-06-21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-07-11,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0,0
13-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
13-09-01,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-10-01,0,0,0,0,0,37,0,0,0,0,0,0,0,33,37,0
13-11-01,0,0,33,0,0,0,0,0,37,0,0,0,0,0,0,0
13-12-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-13-01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-14-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-15-01,37,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-16-01,0,33,0,35,0,0,0,0,0,34,0,0,0,0,0,0
13-17-21,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-18-21,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-19-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-20-01,35,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-21-01,0,34,37,0,0,0,0,0,0,39,0,0,0,0,35,0
13-22-01,0,33,33,0,0,0,0,0,0,33,0,0,0,0,36,0
13-23-01,0,33,39,0,0,0,0,0,0,33,0,33,0,0,0,0
13-24-01,0,35,33,0,0,0,0,0,0,35,0,35,0,0,0,0
13-25-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
13-26-01,0,33,0,0,0,0,0,0,0,0,0,33,0,33,0,0
13-27-01,0,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-28-01,0,33,38,0,0,0,0,0,0,34,0,0,0,0,33,0
13-29-01,0,33,0,0,0,0,0,0,0,33,0,0,0,33,0,0
13-30-11,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0
13-31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
13-32-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-33-01,0,0,0,0,0,0,0,0,0,33,0,0,0,35,0,0
13-34-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-35-01,0,33,49,0,0,48,0,0,0,0,0,0,0,33,39,0
13-36-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
13-37-01,0,33,0,0,0,0,0,0,0,0,0,0,0,34,33,0
13-38-01,0,34,34,0,0,0,0,0,0,34,0,0,0,0,0,0
13-39-01,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0
13-40-01,0,0,36,0,0,0,0,0,0,34,0,0,0,0,0,0
13-41-01,0,35,0,0,0,0,0,0,0,37,0,0,0,39,35,0
13-42-01,0,39,38,0,0,0,0,0,0,41,0,0,0,0,38,0
13-43-01,0,0,53,0,0,0,0,0,0,39,0,0,0,34,41,0
13-44-01,0,36,35,0,0,36,0,0,45,33,0,0,0,34,33,0
13-45-01,0,33,33,0,0,0,0,0,33,43,0,0,0,36,36,0
13-46-01,0,0,0,35,0,0,0,0,43,33,0,0,0,37,0,0
13-47-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
13-48-01,0,0,0,0,0,0,0,0,0,35,0,0,0,33,34,0
13-49-01,0,42,0,0,0,0,0,0,0,36,0,0,0,38,34,0
13-50-01,0,0,0,0,0,0,0,0,34,33,0,0,0,39,45,33
13-51-01,0,40,33,0,0,0,0,0,0,37,0,0,0,40,36,0
13-52-01,0,0,33,0,0,0,0,0,0,39,0,0,0,38,35,0
13-53-21,0,0,0,0,0,0,0,0,0,34,0,0,0,35,34,0
13-54-11,0,34,36,0,0,0,0,0,0,33,0,0,0,33,34,0
13-55-01,0,36,0,0,0,0,0,0,0,35,0,0,0,33,0,0
13-56-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-57-01,0,35,0,0,0,0,0,0,0,45,0,0,0,35,41,0
13-58-01,0,0,0,0,0,0,0,0,0,33,0,0,0,34,35,0
13-59-01,0,39,0,0,0,0,0,0,0,40,0,0,0,35,0,0
14-00-01,0,48,0,0,0,0,0,0,0,41,0,0,0,44,43,0
14-01-01,0,33,36,0,0,0,0,0,0,38,0,0,0,0,33,0
14-02-01,0,41,0,0,0,0,0,0,0,53,0,40,0,42,39,0
14-03-11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-04-01,0,0,33,33,0,0,0,0,0,0,0,0,0,0,33,0
14-05-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
14-06-01,0,33,40,38,0,0,0,0,0,0,0,0,0,37,0,0
14-07-01,0,0,49,33,0,0,0,0,0,0,0,0,0,0,0,0
14-08-01,0,0,42,0,0,0,0,0,0,37,0,0,0,34,37,0
14-09-01,0,0,40,33,0,0,0,0,0,38,0,0,0,33,39,0
14-10-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,38,0
14-11-01,0,33,37,35,0,33,0,0,0,33,0,0,0,36,0,0
14-12-01,0,0,40,0,0,0,0,0,0,41,0,0,0,0,35,0
14-13-01,0,0,38,39,0,0,0,0,0,37,0,0,0,0,0,0
14-14-01,0,0,57,35,0,0,0,0,0,34,0,0,0,35,33,0
14-15-01,0,0,0,0,0,33,0,33,50,0,0,0,0,0,33,0
14-16-01,0,0,36,0,0,0,0,0,0,43,0,0,0,0,38,0
14-17-01,0,34,33,0,0,0,0,0,33,41,0,0,0,36,35,0
14-18-01,0,0,34,0,0,33,0,0,0,39,0,0,0,43,39,0
14-19-01,0,41,0,0,0,0,0,0,0,35,0,0,0,35,35,0
14-20-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-21-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,33,0
14-22-01,0,0,0,33,0,34,0,0,0,0,0,0,0,33,0,0
14-23-01,0,35,0,0,0,0,0,0,0,37,0,0,0,35,43,0
14-24-01,0,34,38,0,0,0,0,0,0,34,0,0,0,38,39,0
14-25-01,0,36,48,33,0,0,0,0,45,36,0,0,0,33,0,0
14-26-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
14-27-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-28-21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-29-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
14-30-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
14-31-11,47,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
14-32-01,0,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0
14-33-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,0
14-34-01,33,0,37,0,0,0,0,0,33,33,0,0,0,0,33,0
14-35-01,0,0,35,0,0,0,0,0,33,0,0,0,0,0,0,0
14-36-01,0,0,0,35,0,33,0,0,0,0,0,0,0,0,0,0
14-37-01,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
14-38-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
