date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
13-20-01,31,52,41,0,34,0,0,0,0,50,0,0,0,0,48,0
13-21-01,0,51,37,0,31,0,0,0,0,50,0,0,0,0,47,0
13-22-01,0,52,0,0,0,0,0,0,0,46,0,0,0,0,48,0
13-23-01,0,52,37,0,33,0,0,0,0,47,0,0,0,0,48,0
13-24-01,0,51,0,0,32,31,33,0,0,42,0,0,0,0,45,0
13-25-01,32,52,0,0,33,0,0,0,0,50,0,0,0,0,48,0
13-26-01,31,51,0,0,32,0,0,0,0,49,0,0,0,0,44,0
13-27-01,36,52,0,0,33,0,0,0,0,49,0,0,0,0,47,0
13-28-01,31,50,0,0,33,0,0,0,0,49,0,0,0,0,47,0
13-29-01,0,52,0,0,35,0,32,0,33,49,0,0,0,0,48,0
13-30-01,31,51,0,0,31,0,0,0,0,48,0,0,0,0,45,0
13-31-01,0,50,0,0,33,0,0,0,0,49,0,0,0,0,46,0
13-32-01,0,52,0,0,32,0,31,0,0,49,0,0,0,0,46,0
13-33-01,0,52,0,0,32,0,37,0,0,48,0,0,0,0,47,0
13-34-01,40,52,31,0,31,0,0,0,0,49,0,0,0,0,48,0
13-35-01,0,52,0,0,0,0,35,0,31,48,0,0,0,0,48,0
13-36-01,31,53,0,0,31,0,0,0,0,47,0,0,0,0,46,0
13-37-01,31,52,0,0,33,0,33,0,0,46,0,0,0,0,48,0
13-38-01,31,51,0,0,32,0,0,0,0,48,0,0,0,0,46,0
13-39-01,0,52,31,0,31,0,31,0,0,49,0,0,0,0,49,0
13-40-01,31,52,0,0,33,0,0,0,0,48,0,0,0,0,49,0
13-41-01,31,52,0,0,0,0,38,0,0,47,0,0,0,0,49,0
13-42-01,31,51,0,0,33,0,0,0,0,49,0,0,0,0,47,0
13-43-01,31,52,0,0,0,0,33,0,0,47,0,0,0,0,46,0
13-44-01,31,53,0,0,31,0,34,0,0,49,0,0,0,0,47,0
13-45-01,31,51,0,0,31,34,0,0,0,43,0,0,0,0,48,0
13-46-01,31,52,0,0,0,0,32,0,0,49,0,0,0,0,48,0
13-47-01,32,50,0,34,0,0,0,0,0,48,0,0,0,0,48,0
13-48-01,31,52,0,0,0,0,31,0,0,47,0,0,0,0,48,0
13-49-01,31,52,0,0,31,0,0,0,0,48,0,0,0,0,48,0
13-50-01,31,51,0,0,31,0,37,0,0,43,0,31,0,0,47,0
13-51-01,0,51,0,0,31,0,36,0,0,50,0,0,0,0,48,0
13-52-01,0,52,0,0,31,0,40,0,0,50,0,0,0,0,48,0
13-53-01,31,52,0,0,32,0,0,0,0,51,0,0,0,0,47,0
13-54-01,39,52,0,0,0,0,0,0,0,49,0,0,0,0,48,0
13-55-01,0,51,0,0,0,32,0,0,0,49,0,31,0,0,48,0
13-56-01,0,50,0,0,32,0,0,0,0,49,0,0,0,0,47,0
13-57-01,0,50,0,0,31,0,34,0,0,48,0,33,0,0,49,0
13-58-01,32,51,0,0,33,0,0,0,34,48,0,33,0,0,48,0
