date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-07-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
14-08-11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39
14-09-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
14-10-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
14-12-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-13-41,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14-14-01,0,39,0,0,0,0,0,0,0,38,0,0,0,0,39,0
14-15-01,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
14-16-01,0,0,49,38,0,0,0,0,0,0,0,0,0,0,0,0
14-17-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-18-31,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,0
14-19-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-20-11,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-21-11,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-22-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-23-11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-25-01,0,0,39,0,0,0,47,0,0,0,0,0,0,0,0,0
14-26-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-30-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-31-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-32-31,39,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-33-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-34-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-35-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-36-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-37-01,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-38-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-39-01,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
14-40-21,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-41-01,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0
14-42-01,0,41,0,0,0,0,58,0,0,40,0,0,0,0,40,0
14-43-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-44-01,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
14-45-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-46-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-47-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
