date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
15-11-01,0,34,55,53,0,0,0,0,45,54,0,0,0,52,46,0
15-12-01,0,34,54,53,0,0,45,46,0,55,0,0,0,51,0,0
15-13-01,0,0,56,53,0,0,45,43,45,56,0,0,0,52,0,0
15-14-01,0,37,57,46,0,0,0,45,45,53,0,0,0,51,48,0
15-15-01,0,0,54,53,0,0,0,46,0,55,0,0,0,53,44,0
15-16-01,0,43,56,53,0,0,45,46,44,48,0,0,0,55,48,0
15-17-01,0,32,54,54,0,0,43,0,47,53,0,0,0,51,0,0
15-18-01,0,44,56,53,0,0,0,46,44,55,0,0,0,52,45,0
15-19-01,0,36,54,52,0,0,41,45,45,55,0,0,0,54,44,0
15-20-01,0,38,53,53,0,0,41,45,0,53,0,0,0,0,50,0
15-21-01,0,38,51,53,0,0,0,0,0,51,0,0,0,51,48,0
15-22-01,0,38,52,54,0,0,0,0,0,55,0,0,0,52,45,0
15-23-01,0,37,53,53,0,0,58,44,0,55,0,0,0,51,0,0
15-24-01,0,35,53,54,0,0,52,40,40,55,0,0,0,50,43,0
15-25-01,0,39,53,54,0,0,55,0,46,56,0,0,0,50,45,0
15-26-01,0,42,53,53,0,0,49,44,48,55,0,0,0,50,45,0
15-27-01,0,0,53,54,0,0,51,44,0,0,0,0,0,50,39,0
15-28-01,0,0,53,53,0,0,51,44,46,55,0,0,0,50,45,0
15-29-01,0,0,51,53,0,0,49,0,0,51,0,0,0,50,45,0
15-30-01,0,0,53,53,0,0,51,43,0,53,0,0,0,0,46,0
